code_site,nom_station_officiel,latitude_pollution,longitude_pollution,station_meteo,distance_km
FR31033,PERIGUEUX,45.189823,0.727184,BERGERAC,43.82
FR34041,Fulbert,48.444416,1.510139,CHARTRES,1.91
FR04048,Zone Rurale Nord,49.100277,2.343889,LE BOURGET,15.99
FR12012,Toulouse Faure STCM,43.635918,1.43175,TOULOUSE-BLAGNAC,4.57
FR03070,ESTEREL,43.437874,6.76839,CANNES,19.74
FR21101,Caen Montalivet,49.179832,-0.32975,CAEN-CARPIQUET,9.19
FR27003,ROCHES DE CONDRIEU,45.454517,4.766528,LYON-BRON,32.9
FR35010,LIMOGES - Aine,45.829975,1.254772,LIMOGES-BELLEGARDE,7.09
FR08004,Montpellier St Denis,43.6051,3.87464,MONTPELLIER-AEROPORT,7.93
FR19037,Lorient Normandie,47.758945,-3.36938,LORIENT-LANN BIHOUE,4.97
FR24036,NICE ARSON,43.702076,7.286256,NICE,8.58
FR31020,LACQ,43.41123,-0.617728,PAU-UZEIN,16.53
FR05502,Quillebeuf sur Seine rue Féret,49.4675,0.531,ST GATIEN DES B,28.71
FR12029,Gaudonville,43.883934,0.845617,AUCH,29.24
FR14854,Vouziers,49.396194,4.702,CHARLEVILLE-MEZ,43.2
FR05081,La Cerlangue,49.504036,0.411594,OCTEVILLE,23.32
FR19091,Fougeres DSTE,48.347504,-1.20162,LAVAL-ETRONNIER,48.78
FR19502,Rennes Place Bretagne,48.1094,-1.68451,RENNES-ST JACQUES,5.82
FR38023,BD BANKS,-21.331703,55.47895,GILLOT-AEROPORT,49.15
FR24009,CANNES BROUSSAILLES,43.558388,7.005919,CANNES,4.47
FR39007,Bishop,14.601889,-61.05759,LAMENTIN-AERO,6.7
FR05100,Le Havre Lafaurie-descendant,49.4994,0.108361,OCTEVILLE,3.93
FR34102,Bazoches,48.16083,2.043611,ORLEANS,27.33
FR04143,PARIS Centre,48.859,2.351,PARIS-MONTSOURIS,4.26
FR24035,NICE PROMENADE,43.68929,7.242074,NICE,5.23
FR03032,AUBAGNE LES PASSONS,43.293137,5.574184,MARIGNANE,33.12
FR23070,S ETIENNE DE MONTLUC,47.283127,-1.783082,NANTES-BOUGUENAIS,19.81
FR38009,Ecole La Marine,-20.910585,55.618977,GILLOT-AEROPORT,9.6
