datetime,code_site,nom_site,NO2,O3,PM10,PM25,temperature,humidity,wind_speed,pressure,impact_index,impact_level
2026-03-26 00:00:00,FR04031,Av Champs Elysees,14.2,71.4,9.7,4.5,282.15,74.31,5.92,99849.27,16.53,faible
2026-03-26 00:00:00,FR04034,VITRY-SUR-SEINE,8.6,66.7,9.4,5.2,282.15,74.31,5.92,99849.27,14.33,faible
2026-03-26 00:00:00,FR04037,PARIS 13eme,6.3,67.5,9.7,5.2,282.15,74.31,5.92,99849.27,13.81,faible
2026-03-26 00:00:00,FR04038,Zone Rurale SO,3.9,66.2,9.7,5.2,282.15,74.31,5.92,99849.27,12.95,faible
2026-03-26 00:00:00,FR04048,Zone Rurale Nord,7.5,64.6,5.9,3.2,282.15,74.31,5.92,99849.27,13.04,faible
2026-03-26 00:00:00,FR04049,LES ULIS,7.5,71.7,9.7,5.2,282.15,74.31,5.92,99849.27,14.67,faible
2026-03-26 00:00:00,FR04051,ARGENTEUIL,17.2,71.4,9.7,5.2,282.15,74.31,5.92,99849.27,17.44,faible
2026-03-26 00:00:00,FR04055,PARIS 1er Les Halles,10.2,64.9,9.8,5.0,282.15,74.31,5.92,99849.27,14.63,faible
2026-03-26 00:00:00,FR04058,Auto A1 -Saint-Denis,52.1,71.4,16.4,6.7,282.15,74.31,5.92,99849.27,28.78,modere
2026-03-26 00:00:00,FR04059,SAINT-DENIS,14.0,71.4,9.7,5.2,282.15,74.31,5.92,99849.27,16.51,faible
2026-03-26 00:00:00,FR04060,PARIS 7eme,10.3,71.4,9.7,5.2,282.15,74.31,5.92,99849.27,15.44,faible
2026-03-26 00:00:00,FR04063,MANTES-LA-JOLIE,8.8,58.2,9.7,5.2,282.15,74.31,5.92,99849.27,13.4,faible
2026-03-26 00:00:00,FR04066,Zone rurale Sud,7.5,60.6,4.1,2.5,282.15,74.31,5.92,99849.27,12.21,faible
2026-03-26 00:00:00,FR04069,MELUN,9.1,62.5,9.7,5.2,282.15,74.31,5.92,99849.27,14.01,faible
2026-03-26 00:00:00,FR04071,Rue Bonaparte,10.8,71.4,9.7,5.2,282.15,74.31,5.92,99849.27,15.59,faible
