datetime,code_site,nom_site,latitude_pollution,longitude_pollution,station_meteo,distance_km,NO2,O3,PM10,PM25,temperature,humidity,wind_speed,pressure
2026-03-26 00:00:00,FR04018,AUBERVILLIERS,48.9039,2.3847,LE BOURGET,7.72,19.8,,,,277.15,80.0,3.1,101110.0
2026-03-26 00:00:00,FR04023,CERGY-PONTOISE,49.04639,2.043056,PONTOISE - AERO,5.0,,68.9,12.8,,275.65,89.0,3.6,100620.0
2026-03-26 00:00:00,FR04024,GONESSE,48.99083,2.444722,LE BOURGET,2.89,6.6,,,3.7,277.15,80.0,3.1,101110.0
2026-03-26 00:00:00,FR04029,VERSAILLES,48.799168,2.130556,TOUSSUS LE NOBLE,5.54,8.0,61.4,,,275.65,88.0,5.0,99780.0
2026-03-26 00:00:00,FR04031,Av Champs Elysees,48.86877,2.311231,PARIS-MONTSOURIS,5.59,14.2,,,4.5,278.35,70.0,3.3,100770.0
2026-03-26 00:00:00,FR04034,VITRY-SUR-SEINE,48.775898,2.375788,PARIS-MONTSOURIS,5.8,8.6,66.7,9.4,5.2,278.35,70.0,3.3,100770.0
2026-03-26 00:00:00,FR04037,PARIS 13eme,48.82861,2.360278,PARIS-MONTSOURIS,1.82,6.3,67.5,,,278.35,70.0,3.3,100770.0
2026-03-26 00:00:00,FR04038,Zone Rurale SO,48.581944,1.883333,TRAPPES,23.32,3.9,66.2,,,275.65,86.0,1.9,99650.0
2026-03-26 00:00:00,FR04048,Zone Rurale Nord,49.100277,2.343889,LE BOURGET,15.99,,64.6,5.9,3.2,277.15,80.0,3.1,101110.0
2026-03-26 00:00:00,FR04049,LES ULIS,48.679443,2.165556,TOUSSUS LE NOBLE,8.79,,71.7,,,275.65,88.0,5.0,99780.0
2026-03-26 00:00:00,FR04051,ARGENTEUIL,48.95139,2.223611,LE BOURGET,15.0,17.2,,,,277.15,80.0,3.1,101110.0
2026-03-26 00:00:00,FR04055,PARIS 1er Les Halles,48.86212,2.344616,PARIS-MONTSOURIS,4.53,10.2,64.9,9.8,5.0,278.35,70.0,3.3,100770.0
2026-03-26 00:00:00,FR04058,Auto A1 -Saint-Denis,48.925278,2.356667,LE BOURGET,6.98,52.1,,16.4,6.7,277.15,80.0,3.1,101110.0
2026-03-26 00:00:00,FR04059,SAINT-DENIS,48.93722,2.361667,LE BOURGET,5.87,14.0,,,,277.15,80.0,3.1,101110.0
2026-03-26 00:00:00,FR04060,PARIS 7eme,48.8572,2.2933,PARIS-MONTSOURIS,5.12,10.3,,,,278.35,70.0,3.3,100770.0
2026-03-26 00:00:00,FR04063,MANTES-LA-JOLIE,48.9964,1.7033,PONTOISE - AERO,25.85,8.8,58.2,,,275.65,89.0,3.6,100620.0
2026-03-26 00:00:00,FR04066,Zone rurale Sud,48.364166,2.236944,ORLY,41.07,,60.6,4.1,2.5,276.15,83.0,2.7,100640.0
2026-03-26 00:00:00,FR04069,MELUN,48.54139,2.661389,MELUN,7.78,9.1,62.5,,,276.35,85.0,4.3,100590.0
2026-03-26 00:00:00,FR04071,Rue Bonaparte,48.856388,2.335278,PARIS-MONTSOURIS,3.87,10.8,,,,278.35,70.0,3.3,100770.0
2026-03-26 00:00:00,FR04098,LOGNES,48.84028,2.635278,LE BOURGET,20.73,11.0,66.9,3.3,,277.15,80.0,3.1,101110.0
2026-03-26 00:00:00,FR04099,NOGENT-SUR-MARNE,48.840557,2.484444,PARIS-MONTSOURIS,10.94,,,8.1,,278.35,70.0,3.3,100770.0
2026-03-26 00:00:00,FR04100,VILLEMOMBLE,48.881947,2.507222,LE BOURGET,11.13,15.1,62.8,,,277.15,80.0,3.1,101110.0
2026-03-26 00:00:00,FR04101,CHAMPIGNY-SUR-MARNE,48.816387,2.5175,PARIS-MONTSOURIS,13.17,9.9,68.3,,,278.35,70.0,3.3,100770.0
2026-03-26 00:00:00,FR04118,Place de l'Opéra,48.870274,2.3325,PARIS-MONTSOURIS,5.42,15.7,,15.3,,278.35,70.0,3.3,100770.0
2026-03-26 00:00:00,FR04122,RN6-MELUN,48.528057,2.653611,MELUN,9.34,12.2,,14.2,6.9,276.35,85.0,4.3,100590.0
2026-03-26 00:00:00,FR04131,Boulevard Haussmann,48.873333,2.330278,PARIS-MONTSOURIS,5.77,13.1,,14.0,1.9,278.35,70.0,3.3,100770.0
2026-03-26 00:00:00,FR04141,Quai des Celestins,48.85278,2.360556,PARIS-MONTSOURIS,3.84,14.1,,,,278.35,70.0,3.3,100770.0
2026-03-26 00:00:00,FR04142,Zone Rurale Nord-Est,49.028057,2.750278,ROISSY,15.81,,67.9,,,276.55,82.0,4.3,100310.0
2026-03-26 00:00:00,FR04149,MONTGERON,48.7067,2.4572,ORLY,4.59,11.8,58.9,,,276.15,83.0,2.7,100640.0
